Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte
EN TRÁMITE,543324,Norma Comercial,2008-12-02 12:09:23,Expediente 97,FERIA JUDICIAL,Media,Moderado,Andres,Corte Suprema,2026-04-12 16:47:31,En Proceso,6,1786229.29,2447309.92,Organismo Público,1730,LABORAL 5,Caso relacionado 97,DR. PAREDES
TERMINADO,134707,Norma Civil,2015-04-11 6:05:48,Expediente 98,APELADO,Alta,Alto,Belén,Primera Instancia,2025-08-27 20:57:56,Desfavorable,6,751048.84,1487039.98,Persona Física,123,CIVIL 2,Caso relacionado 98,DR. URQUIZA
TERMINADO,618477,Norma Comercial,2011-07-03 1:53:53,Expediente 99,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2028-06-01 7:04:39,Conciliación,3,2986370.71,3089747.35,Organismo Público,1672,COMERCIAL 1,Caso relacionado 99,DRA. CINTIA FIAD
FERIA JUDICIAL,967969,Norma Comercial,2022-06-30 19:33:22,Expediente 100,FERIA JUDICIAL,Baja,Bajo,Mariana,Primera Instancia,2028-09-24 20:51:37,Favorable,6,4073775.76,685997.73,Empresa,1437,COMERCIAL 1,Caso relacionado 100,DR. PAREDES
EN TRÁMITE,821864,Norma Comercial,2003-07-26 5:53:16,Expediente 101,EN TRÁMITE,Baja,Moderado,Belén,Primera Instancia,2029-06-22 12:36:31,Desfavorable,5,1916796.24,1541140.68,Persona Física,1163,CIVIL 2,Caso relacionado 101,DR. PAREDES
EN TRÁMITE,802974,Norma Comercial,2003-04-17 13:53:52,Expediente 102,FERIA JUDICIAL,Media,Alto,Mariana,Corte Suprema,2025-10-13 19:18:59,Conciliación,9,670020.89,1391101.01,Empresa,1253,COMERCIAL 1,Caso relacionado 102,DR. URQUIZA
TERMINADO,846788,Norma Comercial,2011-09-05 15:29:33,Expediente 103,FERIA JUDICIAL,Media,Alto,Agostina,Segunda Instancia,2026-09-17 7:02:51,Desfavorable,6,991474.1,1730069.34,Persona Física,1298,LABORAL 5,Caso relacionado 103,DR. PAREDES
EN TRÁMITE,453299,Norma Comercial,2011-02-13 4:22:21,Expediente 104,EN TRÁMITE,Alta,Bajo,Laura,Segunda Instancia,2028-05-25 11:37:00,Favorable,5,1195041.69,3128210.4,Empresa,439,PAZ TERCERA,Caso relacionado 104,DR. URQUIZA
EN TRÁMITE,886713,Norma Civil,2011-10-08 21:34:45,Expediente 105,EN TRÁMITE,Baja,Alto,Laura,Segunda Instancia,2025-03-14 10:17:18,Desfavorable,6,1506488.99,1939271.26,Organismo Público,1022,PAZ TERCERA,Caso relacionado 105,DRA. CINTIA FIAD
EN TRÁMITE,258492,Norma Laboral,2003-02-20 20:32:44,Expediente 106,EN TRÁMITE,Media,Bajo,Laura,Corte Suprema,2030-01-30 12:30:28,Favorable,3,3217547.4,3177087.73,Empresa,562,COMERCIAL 1,Caso relacionado 106,DRA. CINTIA FIAD
APELADO,574112,Norma Penal,2002-06-17 16:48:16,Expediente 107,APELADO,Media,Alto,Mariana,Primera Instancia,2027-11-12 3:42:21,Desfavorable,5,3008717.97,2308073.17,Persona Física,1934,CIVIL 2,Caso relacionado 107,DR. PAREDES
FERIA JUDICIAL,270102,Norma Comercial,2024-06-11 19:20:26,Expediente 108,EN TRÁMITE,Media,Alto,Mariana,Segunda Instancia,2029-01-18 16:19:34,Favorable,9,3483438.51,1371567.39,Empresa,118,LABORAL 5,Caso relacionado 108,DRA. CINTIA FIAD
TERMINADO,494274,Norma Penal,2006-08-19 3:52:12,Expediente 109,APELADO,Media,Bajo,Andres,Corte Suprema,2028-03-20 10:50:55,Desfavorable,2,1818884.9,3240865.08,Persona Física,1738,PAZ TERCERA,Caso relacionado 109,DRA. CINTIA FIAD
TERMINADO,317285,Norma Civil,2004-06-07 15:45:54,Expediente 110,EN TRÁMITE,Media,Moderado,Andres,Primera Instancia,2027-08-28 6:22:05,Favorable,5,4121748.28,956967.23,Empresa,905,LABORAL 5,Caso relacionado 110,DR. PAREDES
APELADO,438404,Norma Comercial,2007-08-22 12:58:58,Expediente 111,APELADO,Media,Alto,Laura,Segunda Instancia,2025-05-03 16:50:17,En Proceso,8,1028397.43,901410,Organismo Público,1507,COMERCIAL 1,Caso relacionado 111,DRA. CINTIA FIAD
FERIA JUDICIAL,259476,Norma Laboral,2001-04-07 3:27:37,Expediente 112,FERIA JUDICIAL,Alta,Moderado,Agostina,Primera Instancia,2030-02-22 20:42:46,Desfavorable,3,2350513.33,2020489.18,Organismo Público,395,COMERCIAL 1,Caso relacionado 112,DR. PAREDES
TERMINADO,858842,Norma Penal,2013-12-24 15:17:54,Expediente 113,TERMINADO,Baja,Alto,Andres,Segunda Instancia,2026-03-28 17:08:12,Desfavorable,7,4006684.22,1047092.74,Empresa,1727,PAZ TERCERA,Caso relacionado 113,DR. URQUIZA
EN TRÁMITE,260928,Norma Comercial,2024-06-13 18:55:41,Expediente 114,FERIA JUDICIAL,Baja,Alto,Andres,Segunda Instancia,2025-08-18 0:24:04,Conciliación,9,908991.65,41302.7,Empresa,876,COMERCIAL 1,Caso relacionado 114,DR. URQUIZA
TERMINADO,764560,Norma Civil,2016-09-13 22:53:38,Expediente 115,FERIA JUDICIAL,Media,Alto,Mariana,Segunda Instancia,2030-06-13 20:44:12,Conciliación,5,558216.94,2594948.62,Empresa,1484,CIVIL 2,Caso relacionado 115,DR. URQUIZA
EN TRÁMITE,950610,Norma Laboral,2017-04-09 22:29:24,Expediente 116,EN TRÁMITE,Baja,Alto,Agostina,Primera Instancia,2027-12-25 17:07:14,Favorable,8,4419583,2046819.82,Persona Física,1859,COMERCIAL 1,Caso relacionado 116,DR. PAREDES
APELADO,396141,Norma Penal,2012-07-06 1:01:16,Expediente 117,APELADO,Baja,Moderado,Laura,Corte Suprema,2027-08-31 22:40:35,Desfavorable,8,1721219.02,1784843.67,Empresa,1717,COMERCIAL 1,Caso relacionado 117,DR. PAREDES
EN TRÁMITE,743561,Norma Penal,2007-03-01 21:54:56,Expediente 118,TERMINADO,Baja,Moderado,Andres,Primera Instancia,2025-11-10 10:49:18,Favorable,9,3422511.92,3868039.22,Empresa,935,COMERCIAL 1,Caso relacionado 118,DRA. CINTIA FIAD
TERMINADO,796595,Norma Comercial,2018-03-02 7:48:21,Expediente 119,EN TRÁMITE,Media,Alto,Agostina,Segunda Instancia,2029-01-28 8:30:37,En Proceso,9,136489.54,2286940.74,Persona Física,1102,LABORAL 5,Caso relacionado 119,DRA. CINTIA FIAD
TERMINADO,348500,Norma Laboral,2017-11-07 12:40:57,Expediente 120,EN TRÁMITE,Media,Alto,Agostina,Primera Instancia,2029-12-13 19:57:06,Conciliación,8,3453333.97,3454409.15,Organismo Público,952,LABORAL 5,Caso relacionado 120,DRA. CINTIA FIAD
TERMINADO,790417,Norma Laboral,2010-12-20 17:21:07,Expediente 121,EN TRÁMITE,Baja,Moderado,Laura,Corte Suprema,2028-11-30 4:42:52,Favorable,6,1587345.54,562103.69,Empresa,1436,PAZ TERCERA,Caso relacionado 121,DRA. CINTIA FIAD
APELADO,232311,Norma Laboral,2006-10-13 15:51:25,Expediente 122,FERIA JUDICIAL,Baja,Bajo,Agostina,Primera Instancia,2026-04-18 1:01:29,Favorable,8,288146.86,2278979.82,Empresa,75,PAZ TERCERA,Caso relacionado 122,DRA. CINTIA FIAD
APELADO,859034,Norma Laboral,2020-12-12 1:45:10,Expediente 123,APELADO,Media,Bajo,Agostina,Corte Suprema,2027-11-15 7:24:04,Conciliación,6,3052965.68,3472578.61,Organismo Público,295,PAZ TERCERA,Caso relacionado 123,DR. PAREDES
FERIA JUDICIAL,345546,Norma Civil,2021-09-10 7:54:10,Expediente 124,APELADO,Alta,Moderado,Agostina,Corte Suprema,2026-05-21 2:27:38,Desfavorable,7,1211611.04,2334507.5,Organismo Público,1817,COMERCIAL 1,Caso relacionado 124,DR. PAREDES
TERMINADO,296733,Norma Laboral,2004-02-10 21:35:19,Expediente 125,TERMINADO,Baja,Alto,Andres,Primera Instancia,2029-11-15 18:15:18,Favorable,3,1940168.14,2873466.64,Persona Física,21,LABORAL 5,Caso relacionado 125,DR. URQUIZA
EN TRÁMITE,751233,Norma Penal,2000-12-15 10:09:39,Expediente 126,APELADO,Alta,Alto,Laura,Segunda Instancia,2028-12-07 14:55:47,Conciliación,4,412098.25,1491314.05,Empresa,1930,CIVIL 2,Caso relacionado 126,DR. URQUIZA
APELADO,669560,Norma Penal,2002-02-10 3:36:37,Expediente 127,APELADO,Baja,Bajo,Agostina,Corte Suprema,2028-04-20 10:44:35,Desfavorable,6,744344.62,374335.82,Empresa,1195,COMERCIAL 1,Caso relacionado 127,DR. URQUIZA
TERMINADO,975825,Norma Civil,2007-10-18 10:00:08,Expediente 128,EN TRÁMITE,Alta,Bajo,Agostina,Primera Instancia,2027-06-23 10:51:49,En Proceso,8,1496906.41,1834311.68,Persona Física,1039,COMERCIAL 1,Caso relacionado 128,DR. URQUIZA
TERMINADO,947644,Norma Penal,2021-08-17 8:49:57,Expediente 129,EN TRÁMITE,Alta,Moderado,Andres,Corte Suprema,2029-08-21 1:41:18,Conciliación,8,457899.91,1580945.17,Organismo Público,1235,COMERCIAL 1,Caso relacionado 129,DR. PAREDES
APELADO,246470,Norma Penal,2015-01-01 7:43:55,Expediente 130,FERIA JUDICIAL,Alta,Bajo,Laura,Segunda Instancia,2029-06-15 7:25:53,Favorable,2,4555023.06,3468905.43,Persona Física,560,CIVIL 2,Caso relacionado 130,DR. PAREDES
FERIA JUDICIAL,744318,Norma Laboral,2017-11-16 9:56:59,Expediente 131,EN TRÁMITE,Media,Moderado,Mariana,Primera Instancia,2029-07-22 2:04:05,En Proceso,8,40174.75,979761.23,Organismo Público,1110,PAZ TERCERA,Caso relacionado 131,DR. PAREDES
APELADO,418647,Norma Penal,2018-06-03 11:42:51,Expediente 132,EN TRÁMITE,Alta,Bajo,Andres,Primera Instancia,2025-01-29 2:45:51,Desfavorable,3,2424462.49,3867103.24,Persona Física,1173,CIVIL 2,Caso relacionado 132,DRA. CINTIA FIAD
APELADO,106570,Norma Civil,2020-04-03 16:18:00,Expediente 133,EN TRÁMITE,Alta,Bajo,Laura,Primera Instancia,2027-01-09 12:33:57,Desfavorable,5,625004.82,3832761.79,Organismo Público,1724,PAZ TERCERA,Caso relacionado 133,DRA. CINTIA FIAD
EN TRÁMITE,430929,Norma Laboral,2000-03-09 8:32:30,Expediente 134,EN TRÁMITE,Alta,Bajo,Agostina,Segunda Instancia,2029-09-20 14:08:35,Conciliación,5,1545318.66,994288.41,Persona Física,372,CIVIL 2,Caso relacionado 134,DR. URQUIZA
EN TRÁMITE,633398,Norma Comercial,2023-06-30 3:19:47,Expediente 135,FERIA JUDICIAL,Baja,Alto,Laura,Corte Suprema,2028-01-16 11:01:49,Conciliación,8,4631037.2,1395467.56,Organismo Público,1504,LABORAL 5,Caso relacionado 135,DRA. CINTIA FIAD
FERIA JUDICIAL,599115,Norma Laboral,2021-05-12 6:47:51,Expediente 136,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2027-04-21 15:05:16,Conciliación,2,816855.82,3582745.18,Organismo Público,818,COMERCIAL 1,Caso relacionado 136,DR. PAREDES
TERMINADO,179141,Norma Civil,2001-10-28 5:57:40,Expediente 137,TERMINADO,Baja,Alto,Laura,Corte Suprema,2028-05-29 8:53:38,Desfavorable,6,4829503.28,3866655.77,Organismo Público,1175,COMERCIAL 1,Caso relacionado 137,DR. URQUIZA
APELADO,112115,Norma Laboral,2009-05-20 22:07:25,Expediente 138,TERMINADO,Alta,Bajo,Mariana,Corte Suprema,2026-04-26 9:13:58,En Proceso,3,1036913.94,1776539.22,Organismo Público,1165,COMERCIAL 1,Caso relacionado 138,DR. URQUIZA
FERIA JUDICIAL,139062,Norma Laboral,2004-06-15 19:08:07,Expediente 139,TERMINADO,Alta,Moderado,Laura,Segunda Instancia,2025-10-23 1:08:28,Desfavorable,2,3710414.88,1287383.2,Organismo Público,1093,PAZ TERCERA,Caso relacionado 139,DRA. CINTIA FIAD
EN TRÁMITE,909343,Norma Civil,2007-10-07 4:56:11,Expediente 140,TERMINADO,Media,Moderado,Mariana,Primera Instancia,2027-04-01 10:36:45,Favorable,6,2737919.55,2106745.58,Empresa,1284,CIVIL 2,Caso relacionado 140,DR. URQUIZA
APELADO,728349,Norma Laboral,2006-01-25 19:47:53,Expediente 141,EN TRÁMITE,Baja,Moderado,Agostina,Corte Suprema,2030-03-31 11:18:13,Desfavorable,3,4423548.85,2752637.98,Organismo Público,846,LABORAL 5,Caso relacionado 141,DRA. CINTIA FIAD
TERMINADO,394700,Norma Civil,2004-05-19 0:41:01,Expediente 142,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2026-05-04 13:25:48,Favorable,8,2774426.34,1097530.69,Empresa,1992,CIVIL 2,Caso relacionado 142,DRA. CINTIA FIAD
EN TRÁMITE,490479,Norma Civil,2004-12-08 20:49:25,Expediente 143,EN TRÁMITE,Baja,Alto,Agostina,Primera Instancia,2029-05-26 12:24:03,En Proceso,5,2677450.5,2947210.33,Organismo Público,521,COMERCIAL 1,Caso relacionado 143,DR. URQUIZA
EN TRÁMITE,626257,Norma Comercial,2001-08-04 21:25:47,Expediente 144,FERIA JUDICIAL,Baja,Alto,Agostina,Segunda Instancia,2026-07-06 2:14:45,Conciliación,3,985335.42,211371.14,Empresa,1657,LABORAL 5,Caso relacionado 144,DRA. CINTIA FIAD
EN TRÁMITE,930185,Norma Penal,2003-07-02 12:58:46,Expediente 145,TERMINADO,Media,Bajo,Mariana,Primera Instancia,2028-05-18 8:37:07,Conciliación,8,839484.52,201931.5,Empresa,371,LABORAL 5,Caso relacionado 145,DRA. CINTIA FIAD
FERIA JUDICIAL,497686,Norma Penal,2003-06-27 4:42:30,Expediente 146,APELADO,Media,Bajo,Andres,Primera Instancia,2027-10-26 12:04:03,Desfavorable,7,4583280.86,1548219.38,Persona Física,1443,COMERCIAL 1,Caso relacionado 146,DRA. CINTIA FIAD
TERMINADO,221863,Norma Laboral,2021-04-07 10:58:35,Expediente 147,TERMINADO,Media,Moderado,Belén,Corte Suprema,2030-10-14 9:01:26,Conciliación,4,1645912.61,1417125.4,Organismo Público,101,CIVIL 2,Caso relacionado 147,DRA. CINTIA FIAD
APELADO,896657,Norma Laboral,2005-01-19 13:45:49,Expediente 148,TERMINADO,Media,Alto,Laura,Segunda Instancia,2029-12-10 16:19:30,En Proceso,3,1866690.45,1265954.7,Persona Física,661,COMERCIAL 1,Caso relacionado 148,DR. URQUIZA
FERIA JUDICIAL,601076,Norma Comercial,2002-12-27 3:02:39,Expediente 149,EN TRÁMITE,Media,Moderado,Belén,Primera Instancia,2028-02-23 13:22:45,Conciliación,4,3801520.06,1966623.95,Persona Física,1978,CIVIL 2,Caso relacionado 149,DR. PAREDES
FERIA JUDICIAL,747296,Norma Comercial,2016-06-30 5:41:35,Expediente 150,TERMINADO,Media,Bajo,Laura,Corte Suprema,2025-01-06 20:49:55,Desfavorable,3,1700729.18,1286330.66,Organismo Público,1682,LABORAL 5,Caso relacionado 150,DR. PAREDES
FERIA JUDICIAL,600726,Norma Comercial,2001-04-12 4:33:57,Expediente 151,APELADO,Media,Bajo,Laura,Segunda Instancia,2030-07-08 6:50:54,En Proceso,4,4760791.61,773070.38,Persona Física,1889,LABORAL 5,Caso relacionado 151,DRA. CINTIA FIAD
EN TRÁMITE,778556,Norma Civil,2024-05-06 12:21:50,Expediente 152,EN TRÁMITE,Media,Moderado,Agostina,Segunda Instancia,2026-11-06 7:18:16,Favorable,7,3692259.57,1241330.85,Organismo Público,968,COMERCIAL 1,Caso relacionado 152,DRA. CINTIA FIAD
TERMINADO,730111,Norma Comercial,2012-11-25 0:12:08,Expediente 153,EN TRÁMITE,Alta,Bajo,Laura,Corte Suprema,2027-03-12 17:06:27,Desfavorable,5,2991171.92,3899742.57,Persona Física,243,LABORAL 5,Caso relacionado 153,DRA. CINTIA FIAD
FERIA JUDICIAL,900101,Norma Comercial,2003-08-20 18:56:12,Expediente 154,FERIA JUDICIAL,Baja,Moderado,Laura,Corte Suprema,2026-08-13 2:08:03,Favorable,9,4405666.85,1647398.1,Organismo Público,753,PAZ TERCERA,Caso relacionado 154,DR. PAREDES
APELADO,734965,Norma Laboral,2002-06-20 16:41:41,Expediente 155,FERIA JUDICIAL,Media,Alto,Mariana,Corte Suprema,2030-11-13 2:13:05,En Proceso,6,257533.48,1781627.54,Organismo Público,512,LABORAL 5,Caso relacionado 155,DRA. CINTIA FIAD
TERMINADO,871246,Norma Comercial,2008-11-23 8:51:55,Expediente 156,TERMINADO,Media,Moderado,Belén,Corte Suprema,2027-12-30 5:40:33,Desfavorable,4,1292742.83,2308297.23,Organismo Público,849,PAZ TERCERA,Caso relacionado 156,DR. URQUIZA
APELADO,148320,Norma Civil,2021-04-13 18:45:28,Expediente 157,FERIA JUDICIAL,Baja,Alto,Mariana,Corte Suprema,2029-04-06 18:36:03,Desfavorable,7,2330531.31,3933446.37,Empresa,555,LABORAL 5,Caso relacionado 157,DR. URQUIZA
TERMINADO,596758,Norma Civil,2014-01-11 14:42:43,Expediente 158,FERIA JUDICIAL,Alta,Alto,Laura,Primera Instancia,2029-04-10 4:47:18,En Proceso,4,1142622.91,970197.1,Persona Física,1119,COMERCIAL 1,Caso relacionado 158,DR. URQUIZA
APELADO,246649,Norma Laboral,2004-07-28 22:35:35,Expediente 159,FERIA JUDICIAL,Baja,Bajo,Agostina,Primera Instancia,2029-10-14 10:22:02,Conciliación,5,3722086.88,2726722.03,Empresa,226,COMERCIAL 1,Caso relacionado 159,DR. PAREDES
EN TRÁMITE,225354,Norma Comercial,2006-04-30 13:21:46,Expediente 160,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2027-08-29 12:39:49,Desfavorable,4,4596848.07,2865358.85,Persona Física,1542,PAZ TERCERA,Caso relacionado 160,DRA. CINTIA FIAD
FERIA JUDICIAL,712297,Norma Comercial,2008-07-11 12:10:59,Expediente 161,EN TRÁMITE,Media,Bajo,Mariana,Primera Instancia,2029-10-03 20:08:35,Desfavorable,7,2124612.9,2431261.05,Persona Física,214,COMERCIAL 1,Caso relacionado 161,DRA. CINTIA FIAD
APELADO,881725,Norma Civil,2016-04-16 6:59:29,Expediente 162,EN TRÁMITE,Baja,Moderado,Andres,Primera Instancia,2027-10-24 5:10:52,Favorable,8,1717241.67,358870.47,Persona Física,718,LABORAL 5,Caso relacionado 162,DRA. CINTIA FIAD
TERMINADO,548625,Norma Comercial,2021-04-16 13:09:13,Expediente 163,FERIA JUDICIAL,Baja,Moderado,Laura,Primera Instancia,2027-07-21 1:19:29,Conciliación,7,4808138.15,2709104.74,Empresa,67,LABORAL 5,Caso relacionado 163,DR. PAREDES
FERIA JUDICIAL,128625,Norma Comercial,2008-06-08 16:20:58,Expediente 164,EN TRÁMITE,Media,Bajo,Agostina,Corte Suprema,2029-02-01 8:50:20,Favorable,9,2229813.64,261058.37,Persona Física,396,COMERCIAL 1,Caso relacionado 164,DR. PAREDES
FERIA JUDICIAL,836400,Norma Comercial,2018-12-13 22:12:08,Expediente 165,FERIA JUDICIAL,Media,Moderado,Mariana,Segunda Instancia,2025-12-16 9:02:00,Favorable,9,2450351.52,2386589.88,Empresa,612,LABORAL 5,Caso relacionado 165,DR. PAREDES
TERMINADO,386233,Norma Penal,2013-01-20 5:33:08,Expediente 166,EN TRÁMITE,Media,Bajo,Mariana,Segunda Instancia,2029-04-01 0:50:49,Conciliación,9,1764732.86,2959626.8,Organismo Público,1036,CIVIL 2,Caso relacionado 166,DR. PAREDES
APELADO,136487,Norma Laboral,2004-05-30 15:22:43,Expediente 167,EN TRÁMITE,Media,Moderado,Agostina,Segunda Instancia,2025-08-18 14:42:38,Conciliación,2,4548646.88,847824.71,Persona Física,1261,CIVIL 2,Caso relacionado 167,DR. URQUIZA
EN TRÁMITE,559054,Norma Penal,2008-11-14 14:07:45,Expediente 168,APELADO,Baja,Alto,Laura,Segunda Instancia,2030-06-01 11:18:42,En Proceso,5,2849087.86,3367279.92,Persona Física,1858,LABORAL 5,Caso relacionado 168,DR. PAREDES
EN TRÁMITE,328071,Norma Laboral,2021-12-04 2:32:00,Expediente 169,TERMINADO,Baja,Alto,Andres,Primera Instancia,2030-12-19 5:02:21,Conciliación,8,3813251.19,126263.45,Organismo Público,770,COMERCIAL 1,Caso relacionado 169,DR. PAREDES
APELADO,996880,Norma Civil,2002-12-22 13:17:14,Expediente 170,FERIA JUDICIAL,Alta,Bajo,Mariana,Primera Instancia,2030-05-08 20:42:06,Desfavorable,2,4060915.52,3376032.39,Organismo Público,1423,PAZ TERCERA,Caso relacionado 170,DR. PAREDES
FERIA JUDICIAL,588011,Norma Comercial,2013-03-31 23:06:46,Expediente 171,APELADO,Alta,Moderado,Andres,Corte Suprema,2029-09-08 4:11:43,Conciliación,5,1715826.72,1844014.56,Persona Física,407,COMERCIAL 1,Caso relacionado 171,DRA. CINTIA FIAD
FERIA JUDICIAL,412282,Norma Laboral,2011-10-06 4:34:13,Expediente 172,EN TRÁMITE,Baja,Moderado,Belén,Segunda Instancia,2026-08-04 9:51:30,En Proceso,8,2174134.71,874263.82,Organismo Público,925,PAZ TERCERA,Caso relacionado 172,DRA. CINTIA FIAD
FERIA JUDICIAL,273895,Norma Penal,2020-05-23 6:09:02,Expediente 173,FERIA JUDICIAL,Alta,Alto,Laura,Primera Instancia,2027-01-31 22:01:28,En Proceso,4,4243874.15,539443.69,Empresa,1873,COMERCIAL 1,Caso relacionado 173,DRA. CINTIA FIAD
FERIA JUDICIAL,530424,Norma Comercial,2002-12-20 20:19:29,Expediente 174,EN TRÁMITE,Baja,Alto,Belén,Primera Instancia,2025-12-19 1:39:32,En Proceso,8,1822644.2,3813462.13,Empresa,1504,LABORAL 5,Caso relacionado 174,DR. URQUIZA
APELADO,416205,Norma Civil,2022-04-17 0:42:31,Expediente 175,TERMINADO,Alta,Bajo,Belén,Corte Suprema,2026-10-04 8:32:30,Conciliación,7,3971736.32,295299.02,Persona Física,647,CIVIL 2,Caso relacionado 175,DR. URQUIZA
FERIA JUDICIAL,201376,Norma Laboral,2006-07-30 0:41:46,Expediente 176,APELADO,Media,Alto,Belén,Corte Suprema,2030-05-15 13:10:42,Conciliación,2,4705551.69,800378.21,Empresa,222,COMERCIAL 1,Caso relacionado 176,DR. PAREDES
TERMINADO,525106,Norma Laboral,2017-06-02 7:52:55,Expediente 177,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2029-02-09 7:35:16,Favorable,4,3119819.76,1394550.28,Empresa,1180,PAZ TERCERA,Caso relacionado 177,DRA. CINTIA FIAD
FERIA JUDICIAL,965566,Norma Laboral,2008-03-09 23:26:06,Expediente 178,APELADO,Media,Alto,Laura,Primera Instancia,2027-06-15 1:19:27,Favorable,7,3710720.16,2482838.22,Persona Física,654,CIVIL 2,Caso relacionado 178,DR. URQUIZA
EN TRÁMITE,933487,Norma Comercial,2017-12-25 11:55:27,Expediente 179,EN TRÁMITE,Media,Alto,Agostina,Primera Instancia,2029-12-05 0:55:15,Desfavorable,5,4027435.59,2181480.34,Organismo Público,428,PAZ TERCERA,Caso relacionado 179,DRA. CINTIA FIAD
FERIA JUDICIAL,867629,Norma Penal,2019-07-10 19:57:08,Expediente 180,TERMINADO,Media,Moderado,Andres,Corte Suprema,2026-03-21 12:07:37,Favorable,8,4226747.85,506945.75,Persona Física,1182,LABORAL 5,Caso relacionado 180,DR. URQUIZA
APELADO,381652,Norma Penal,2007-02-10 18:04:25,Expediente 181,TERMINADO,Media,Alto,Andres,Segunda Instancia,2027-06-04 1:56:11,Desfavorable,7,1981316.16,1162463.3,Empresa,977,CIVIL 2,Caso relacionado 181,DR. URQUIZA
EN TRÁMITE,572132,Norma Laboral,2010-08-06 20:35:37,Expediente 182,EN TRÁMITE,Alta,Alto,Agostina,Corte Suprema,2030-06-30 13:34:15,En Proceso,4,265804.66,958813.33,Persona Física,1440,PAZ TERCERA,Caso relacionado 182,DR. PAREDES
APELADO,258056,Norma Civil,2022-12-21 18:16:11,Expediente 183,TERMINADO,Baja,Bajo,Agostina,Corte Suprema,2025-03-28 2:08:16,Favorable,2,2015362.59,858103.7,Persona Física,1006,COMERCIAL 1,Caso relacionado 183,DR. PAREDES
APELADO,734457,Norma Civil,2005-02-17 17:23:03,Expediente 184,FERIA JUDICIAL,Media,Alto,Belén,Corte Suprema,2025-02-05 8:10:07,Conciliación,2,3372043.59,1647521.62,Empresa,1350,LABORAL 5,Caso relacionado 184,DR. URQUIZA
EN TRÁMITE,894557,Norma Penal,2001-05-19 22:43:11,Expediente 185,APELADO,Alta,Bajo,Agostina,Corte Suprema,2030-03-08 16:40:47,Favorable,9,2257248.43,2817605.65,Empresa,371,LABORAL 5,Caso relacionado 185,DR. PAREDES
APELADO,660347,Norma Civil,2016-12-07 5:20:13,Expediente 186,APELADO,Media,Alto,Mariana,Primera Instancia,2027-09-15 7:21:51,Desfavorable,8,3747326.12,873724.46,Persona Física,1368,LABORAL 5,Caso relacionado 186,DR. URQUIZA
APELADO,562785,Norma Penal,2000-11-20 14:40:17,Expediente 187,APELADO,Alta,Alto,Andres,Segunda Instancia,2026-11-29 8:30:37,Favorable,7,1791342.32,1469882.12,Empresa,1286,COMERCIAL 1,Caso relacionado 187,DR. URQUIZA
FERIA JUDICIAL,727697,Norma Laboral,2019-09-24 6:03:48,Expediente 188,FERIA JUDICIAL,Alta,Bajo,Agostina,Corte Suprema,2028-03-15 19:21:10,En Proceso,9,3177373.26,1566715.12,Empresa,1307,COMERCIAL 1,Caso relacionado 188,DRA. CINTIA FIAD
TERMINADO,599653,Norma Penal,2020-12-25 1:27:30,Expediente 189,APELADO,Alta,Moderado,Mariana,Segunda Instancia,2025-03-20 22:08:42,Conciliación,4,940234.83,3905943.84,Empresa,850,CIVIL 2,Caso relacionado 189,DR. PAREDES
APELADO,629992,Norma Penal,2008-11-21 14:01:59,Expediente 190,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2028-12-09 12:28:07,Desfavorable,9,3749353.49,3818892.1,Empresa,856,COMERCIAL 1,Caso relacionado 190,DR. PAREDES
APELADO,828744,Norma Laboral,2012-01-05 13:59:12,Expediente 191,TERMINADO,Alta,Bajo,Mariana,Segunda Instancia,2026-06-20 12:56:32,Conciliación,3,2733022.88,3201549.64,Empresa,229,CIVIL 2,Caso relacionado 191,DR. PAREDES
APELADO,842488,Norma Civil,2007-12-27 22:19:30,Expediente 192,FERIA JUDICIAL,Alta,Bajo,Mariana,Corte Suprema,2025-07-27 12:18:18,Conciliación,5,1028281.3,970427.39,Empresa,1912,LABORAL 5,Caso relacionado 192,DRA. CINTIA FIAD
FERIA JUDICIAL,735567,Norma Penal,2014-10-08 22:04:47,Expediente 193,APELADO,Baja,Moderado,Belén,Primera Instancia,2030-01-16 14:12:36,Desfavorable,9,1466636.76,276809.07,Organismo Público,280,CIVIL 2,Caso relacionado 193,DRA. CINTIA FIAD
TERMINADO,782568,Norma Penal,2013-07-17 11:43:52,Expediente 194,EN TRÁMITE,Baja,Alto,Mariana,Corte Suprema,2029-01-07 6:47:31,Conciliación,5,3745557.46,1271032.03,Persona Física,1894,PAZ TERCERA,Caso relacionado 194,DRA. CINTIA FIAD
