Estado,ID_Expediente,Clasificacion_Norma,Fecha_Inicio,Caratula,Estado_Actual,Prioridad_Expediente,Riesgo_Financiero,Abogado_Asignado,Instancia_Actual,Audiencia_Prevista,Resultado_Final,Cantidad_de_Partes,Monto_Reclamado,Monto_Resuelto,Tipo_Demandante,Dias_en_Etapa,Juzgado,Caratula.1,Abogado_Contraparte,Tiene_Audiencia
FERIA JUDICIAL,227834,Norma Penal,2014-09-21 12:15:24,Expediente 347,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2030-06-27 07:03:50,En Proceso,6,2283691.25,3509096.27,Persona Física,1246,CIVIL 2,Caso relacionado 347,DRA. CINTIA FIAD,1
TERMINADO,134084,Norma Civil,2006-04-30 00:27:52,Expediente 348,TERMINADO,Media,Bajo,Laura,Primera Instancia,2025-05-19 00:17:35,Favorable,3,2415266.53,976504.02,Persona Física,1282,PAZ TERCERA,Caso relacionado 348,DRA. CINTIA FIAD,1
APELADO,351459,Norma Civil,2009-05-26 03:58:43,Expediente 349,TERMINADO,Baja,Bajo,Belén,Corte Suprema,2030-04-06 08:07:03,Favorable,3,3791305.04,2204529.68,Empresa,713,LABORAL 5,Caso relacionado 349,DRA. CINTIA FIAD,1
TERMINADO,734929,Norma Civil,2022-11-22 15:57:25,Expediente 350,EN TRÁMITE,Baja,Bajo,Mariana,Segunda Instancia,2027-08-23 14:19:56,Conciliación,7,1416772.59,774010.14,Persona Física,1391,PAZ TERCERA,Caso relacionado 350,DRA. CINTIA FIAD,1
FERIA JUDICIAL,205111,Norma Penal,2005-07-20 20:50:57,Expediente 351,FERIA JUDICIAL,Alta,Bajo,Mariana,Segunda Instancia,2027-09-28 17:59:22,Conciliación,8,1597017.66,412005.66,Persona Física,1794,COMERCIAL 1,Caso relacionado 351,DR. PAREDES,1
EN TRÁMITE,549042,Norma Laboral,2015-01-27 08:02:13,Expediente 352,APELADO,Alta,Alto,Andres,Segunda Instancia,2026-07-07 02:28:35,Conciliación,6,4623962.54,3644926.4,Persona Física,1373,CIVIL 2,Caso relacionado 352,DR. PAREDES,1
EN TRÁMITE,529667,Norma Penal,2001-04-21 08:15:55,Expediente 353,TERMINADO,Alta,Bajo,Belén,Primera Instancia,2025-06-11 07:22:10,Desfavorable,8,290559.23,1888468.992082754,Persona Física,225,PAZ TERCERA,Caso relacionado 353,DRA. CINTIA FIAD,1
FERIA JUDICIAL,762587,Norma Laboral,2008-10-03 20:40:11,Expediente 354,APELADO,Media,Moderado,Agostina,Corte Suprema,2028-03-28 12:03:16,Conciliación,8,2433315.15,3041339.43,Organismo Público,1738,PAZ TERCERA,Caso relacionado 354,DR. PAREDES,1
EN TRÁMITE,262982,Norma Penal,2020-08-03 23:09:53,Expediente 355,APELADO,Media,Bajo,Mariana,Primera Instancia,2026-12-20 21:02:00,En Proceso,9,4564875.99,199821.44,Persona Física,738,PAZ TERCERA,Caso relacionado 355,DR. URQUIZA,1
APELADO,398185,Norma Penal,2009-10-01 02:08:46,Expediente 356,TERMINADO,Alta,Alto,Agostina,Segunda Instancia,2028-01-27 06:48:37,Desfavorable,6,3055711.41,3375696.53,Empresa,236,PAZ TERCERA,Caso relacionado 356,DR. PAREDES,1
FERIA JUDICIAL,975352,Norma Civil,2020-08-22 10:52:27,Expediente 357,FERIA JUDICIAL,Baja,Moderado,Mariana,Segunda Instancia,2026-03-26 12:17:34,Conciliación,2,2736571.3,1754986.08,Empresa,183,COMERCIAL 1,Caso relacionado 357,DRA. CINTIA FIAD,1
TERMINADO,427825,Norma Comercial,2008-09-19 11:30:16,Expediente 358,TERMINADO,Baja,Bajo,Agostina,Corte Suprema,2025-09-05 12:16:21,Desfavorable,7,1256223.45,1372868.52,Persona Física,712,COMERCIAL 1,Caso relacionado 358,DRA. CINTIA FIAD,1
FERIA JUDICIAL,334386,Norma Comercial,2014-09-02 16:20:36,Expediente 359,APELADO,Media,Bajo,Belén,Primera Instancia,2030-08-14 10:28:17,En Proceso,7,1722944.69,2188173.06,Empresa,1893,CIVIL 2,Caso relacionado 359,DR. PAREDES,1
APELADO,443715,Norma Laboral,2000-08-02 20:19:35,Expediente 360,TERMINADO,Media,Bajo,Andres,Segunda Instancia,2026-11-14 08:10:35,Conciliación,9,4261721.59,369956.2,Persona Física,1782,CIVIL 2,Caso relacionado 360,DRA. CINTIA FIAD,1
APELADO,296553,Norma Comercial,2009-06-04 16:33:25,Expediente 361,APELADO,Alta,Moderado,Belén,Corte Suprema,2030-03-16 07:27:22,En Proceso,4,2800498.48,3027802.96,Empresa,444,LABORAL 5,Caso relacionado 361,DESCONOCIDO,1
FERIA JUDICIAL,561792,Norma Penal,2010-08-25 18:59:14,Expediente 362,APELADO,Baja,Moderado,Laura,Primera Instancia,2027-01-11 16:05:27,En Proceso,7,2578563.55,2331828.13,Empresa,1889,COMERCIAL 1,Caso relacionado 362,DR. URQUIZA,1
FERIA JUDICIAL,601174,Norma Penal,2017-09-01 11:34:35,Expediente 363,TERMINADO,Alta,Alto,Andres,Primera Instancia,,En Proceso,3,506902.77,750427.44,Persona Física,623,PAZ TERCERA,Caso relacionado 363,DRA. CINTIA FIAD,0
EN TRÁMITE,884625,Norma Civil,2011-08-06 17:09:47,Expediente 364,EN TRÁMITE,Media,Moderado,Belén,Segunda Instancia,2030-10-17 00:59:44,Conciliación,2,89980.5,756987.64,Persona Física,1030,PAZ TERCERA,Caso relacionado 364,DR. URQUIZA,1
APELADO,751844,Norma Civil,2003-06-18 09:02:21,Expediente 365,TERMINADO,Baja,Moderado,Laura,Segunda Instancia,2025-05-01 05:19:15,Favorable,6,4818789.09,741073.36,Organismo Público,1260,LABORAL 5,Caso relacionado 365,DR. URQUIZA,1
FERIA JUDICIAL,295246,Norma Comercial,2023-08-25 17:39:37,Expediente 366,EN TRÁMITE,Baja,Bajo,Mariana,Primera Instancia,2026-10-10 00:04:59,Conciliación,7,1891160.97,232724.54,Persona Física,1151,PAZ TERCERA,Caso relacionado 366,DR. PAREDES,1
FERIA JUDICIAL,650448,Norma Laboral,2015-05-16 10:29:47,Expediente 367,APELADO,Media,Moderado,Mariana,Primera Instancia,2029-08-25 08:22:46,En Proceso,2,3020033.18,2353254.81,Persona Física,1128,LABORAL 5,Caso relacionado 367,DR. URQUIZA,1
APELADO,346242,Norma Comercial,2010-05-04 21:32:39,Expediente 368,APELADO,Alta,Bajo,Agostina,Segunda Instancia,2027-07-11 13:25:51,Conciliación,9,407778.22,3362190.97,Organismo Público,749,CIVIL 2,Caso relacionado 368,DR. PAREDES,1
FERIA JUDICIAL,611083,Norma Comercial,2011-11-12 17:09:45,Expediente 369,EN TRÁMITE,Alta,Bajo,Andres,Primera Instancia,2027-05-07 03:40:22,En Proceso,7,3418740.29,74905.36,Persona Física,1939,COMERCIAL 1,Caso relacionado 369,DRA. CINTIA FIAD,1
EN TRÁMITE,117633,Norma Comercial,2013-09-11 17:11:25,Expediente 370,APELADO,Baja,Moderado,Mariana,Segunda Instancia,2030-05-08 08:00:53,Favorable,6,4663507.88,200773.56,Persona Física,1504,LABORAL 5,Caso relacionado 370,DR. PAREDES,1
APELADO,903446,Norma Comercial,2023-02-25 15:32:50,Expediente 371,EN TRÁMITE,Media,Alto,Andres,Primera Instancia,2025-11-25 06:21:11,Desfavorable,5,2882569.61,2293217.26,Organismo Público,155,PAZ TERCERA,Caso relacionado 371,DRA. CINTIA FIAD,1
EN TRÁMITE,966964,Norma Penal,2019-04-28 11:10:43,Expediente 372,EN TRÁMITE,Baja,Alto,Mariana,Segunda Instancia,2029-01-17 15:22:50,Favorable,6,639315.46,3278885.26,Persona Física,257,LABORAL 5,Caso relacionado 372,DRA. CINTIA FIAD,1
EN TRÁMITE,149104,Norma Laboral,2021-02-21 23:32:49,Expediente 373,APELADO,Media,Moderado,Agostina,Corte Suprema,2029-05-04 08:30:20,Favorable,6,2912790.42,1310321.87,Persona Física,235,CIVIL 2,Caso relacionado 373,DRA. CINTIA FIAD,1
EN TRÁMITE,963663,Norma Penal,2013-04-30 16:39:04,Expediente 374,FERIA JUDICIAL,Alta,Alto,Belén,Segunda Instancia,2028-06-04 04:55:17,Desfavorable,6,3834072.59,1401709.52,Organismo Público,500,PAZ TERCERA,Caso relacionado 374,DRA. CINTIA FIAD,1
EN TRÁMITE,168388,Norma Laboral,2015-06-26 21:44:42,Expediente 375,EN TRÁMITE,Media,Bajo,Agostina,Segunda Instancia,2025-06-14 15:04:47,Conciliación,7,2038018.52,2387404.26,Organismo Público,289,CIVIL 2,Caso relacionado 375,DRA. CINTIA FIAD,1
APELADO,640302,Norma Civil,2020-07-27 14:05:44,Expediente 376,TERMINADO,Alta,Bajo,Laura,Corte Suprema,2027-03-23 04:22:43,Desfavorable,4,4400390.36,1100480.49,Empresa,510,CIVIL 2,Caso relacionado 376,DR. PAREDES,1
EN TRÁMITE,192578,Norma Comercial,2016-06-16 09:23:59,Expediente 377,TERMINADO,Media,Moderado,Mariana,Primera Instancia,2027-10-02 20:46:37,Conciliación,6,3246927.94,111300.42,Persona Física,1576,LABORAL 5,Caso relacionado 377,DRA. CINTIA FIAD,1
EN TRÁMITE,789115,Norma Penal,2010-07-07 02:31:27,Expediente 378,APELADO,Baja,Alto,Laura,Corte Suprema,2028-08-01 02:06:58,Conciliación,9,4497252.1,2942237.93,Empresa,1824,CIVIL 2,Caso relacionado 378,DR. URQUIZA,1
FERIA JUDICIAL,664678,Norma Laboral,2013-12-07 02:04:05,Expediente 379,FERIA JUDICIAL,Alta,Alto,Laura,Segunda Instancia,2026-01-10 04:26:38,En Proceso,3,3121291.5,2504471.4,Empresa,709,PAZ TERCERA,Caso relacionado 379,DR. URQUIZA,1
APELADO,385855,Norma Civil,2012-06-11 21:10:28,Expediente 380,APELADO,Baja,Bajo,Andres,Primera Instancia,2026-12-19 20:48:57,En Proceso,3,665126.98,2325120.22,Organismo Público,785,CIVIL 2,Caso relacionado 380,DRA. CINTIA FIAD,1
APELADO,191658,Norma Civil,2007-08-25 12:17:47,Expediente 381,FERIA JUDICIAL,Baja,Moderado,Mariana,Corte Suprema,2030-04-21 18:36:36,Desfavorable,9,1555361.64,2968028.1,Persona Física,894,CIVIL 2,Caso relacionado 381,DR. URQUIZA,1
TERMINADO,157993,Norma Comercial,2012-10-03 16:59:09,Expediente 382,EN TRÁMITE,Alta,Alto,Laura,Primera Instancia,2025-10-16 12:33:04,Favorable,2,1016956.79,2702547.2,Persona Física,776,LABORAL 5,Caso relacionado 382,DESCONOCIDO,1
APELADO,305768,Norma Laboral,2000-07-16 14:12:42,Expediente 383,EN TRÁMITE,Alta,Moderado,Belén,Primera Instancia,2028-10-09 03:49:36,Desfavorable,4,4545044.22,827498.54,Organismo Público,1593,CIVIL 2,Caso relacionado 383,DESCONOCIDO,1
APELADO,258285,Norma Penal,2018-04-04 05:48:18,Expediente 384,EN TRÁMITE,Baja,Alto,Laura,Corte Suprema,2029-01-21 10:25:11,Conciliación,2,3804396.34,1413161.78,Empresa,298,COMERCIAL 1,Caso relacionado 384,DRA. CINTIA FIAD,1
TERMINADO,871148,Norma Comercial,2004-03-26 18:21:20,Expediente 385,EN TRÁMITE,Baja,Bajo,Belén,Primera Instancia,2025-05-17 04:16:28,En Proceso,9,3385227.86,508810.02,Organismo Público,1634,LABORAL 5,Caso relacionado 385,DRA. CINTIA FIAD,1
APELADO,551000,Norma Penal,2017-03-08 15:42:11,Expediente 386,TERMINADO,Baja,Bajo,Andres,Corte Suprema,2025-12-22 14:47:11,Desfavorable,3,1511821.93,523778.77,Persona Física,137,LABORAL 5,Caso relacionado 386,DRA. CINTIA FIAD,1
APELADO,893853,Norma Civil,2023-12-23 20:01:19,Expediente 387,TERMINADO,Baja,Moderado,Laura,Segunda Instancia,2026-02-13 02:49:22,Desfavorable,8,928383.41,2706402.01,Organismo Público,376,PAZ TERCERA,Caso relacionado 387,DR. URQUIZA,1
APELADO,842296,Norma Penal,2014-06-22 09:00:17,Expediente 388,APELADO,Alta,Bajo,Agostina,Primera Instancia,2026-01-03 16:04:18,En Proceso,3,3784690.93,3435107.43,Persona Física,87,PAZ TERCERA,Caso relacionado 388,DR. URQUIZA,1
APELADO,642015,Norma Penal,2010-03-22 10:34:41,Expediente 389,FERIA JUDICIAL,Alta,Alto,Andres,Segunda Instancia,2025-06-15 07:54:10,En Proceso,5,2376048.15,3851116.67,Empresa,1443,PAZ TERCERA,Caso relacionado 389,DR. PAREDES,1
TERMINADO,998850,Norma Comercial,2008-11-01 04:04:50,Expediente 390,EN TRÁMITE,Baja,Bajo,Belén,Segunda Instancia,2030-08-31 19:06:44,En Proceso,6,1136689.87,2515246.73,Persona Física,1778,PAZ TERCERA,Caso relacionado 390,DR. URQUIZA,1
APELADO,628646,Norma Penal,2000-07-08 18:01:27,Expediente 391,EN TRÁMITE,Media,Moderado,Andres,Primera Instancia,2027-03-06 23:48:42,Conciliación,8,3086943.67,740484.79,Empresa,1223,COMERCIAL 1,Caso relacionado 391,DR. PAREDES,1
APELADO,427252,Norma Comercial,2009-06-23 21:07:39,Expediente 392,FERIA JUDICIAL,Media,Moderado,Laura,Corte Suprema,2025-10-22 09:22:19,En Proceso,3,211265.92,427073.13,Empresa,1487,LABORAL 5,Caso relacionado 392,DR. URQUIZA,1
TERMINADO,357681,Norma Civil,2024-09-21 20:08:14,Expediente 393,FERIA JUDICIAL,Alta,Moderado,Mariana,Primera Instancia,2026-05-20 04:53:39,Favorable,7,1637589.57,3252339.63,Persona Física,437,CIVIL 2,Caso relacionado 393,DR. PAREDES,1
FERIA JUDICIAL,194018,Norma Comercial,2023-10-20 09:40:54,Expediente 394,APELADO,Baja,Alto,Mariana,Segunda Instancia,2026-10-14 18:37:32,Desfavorable,7,2348099.4,2317132.12,Persona Física,1334,PAZ TERCERA,Caso relacionado 394,DRA. CINTIA FIAD,1
EN TRÁMITE,486601,Norma Comercial,2022-09-30 04:15:01,Expediente 395,FERIA JUDICIAL,Baja,Alto,Belén,Segunda Instancia,2025-12-02 05:18:11,En Proceso,2,748312.09,2475048.66,Empresa,1620,PAZ TERCERA,Caso relacionado 395,DR. URQUIZA,1
FERIA JUDICIAL,394054,Norma Laboral,2014-05-23 05:27:36,Expediente 396,EN TRÁMITE,Alta,Alto,Belén,Corte Suprema,2025-06-22 14:23:04,En Proceso,8,4923425.84,3126941.04,Organismo Público,1778,PAZ TERCERA,Caso relacionado 396,DR. PAREDES,1
TERMINADO,751176,Norma Penal,2021-02-18 03:08:03,Expediente 397,EN TRÁMITE,Media,Alto,Mariana,Primera Instancia,2030-10-27 01:46:13,Conciliación,2,1053395.85,2814592.52,Persona Física,1305,CIVIL 2,Caso relacionado 397,DR. URQUIZA,1
EN TRÁMITE,329104,Norma Civil,2011-11-05 20:06:31,Expediente 398,EN TRÁMITE,Media,Alto,Belén,Segunda Instancia,2029-01-31 07:55:06,Conciliación,6,660462.12,3338660.72,Empresa,1347,PAZ TERCERA,Caso relacionado 398,DRA. CINTIA FIAD,1
TERMINADO,942186,Norma Comercial,2009-11-21 11:43:50,Expediente 399,EN TRÁMITE,Media,Bajo,Andres,Segunda Instancia,2029-02-17 14:24:42,Desfavorable,6,1025639.02,229574.55,Empresa,764,CIVIL 2,Caso relacionado 399,DR. PAREDES,1
TERMINADO,293510,Norma Civil,2003-12-26 07:44:22,Expediente 400,EN TRÁMITE,Alta,Alto,Agostina,Segunda Instancia,2028-07-01 00:56:27,Favorable,5,3847615.05,2991344.94,Organismo Público,702,LABORAL 5,Caso relacionado 400,DESCONOCIDO,1
APELADO,209847,Norma Laboral,2010-06-28 13:39:11,Expediente 401,APELADO,Media,Alto,Agostina,Corte Suprema,2027-05-20 20:55:20,Desfavorable,9,2133273.24,3404156.77,Persona Física,1975,LABORAL 5,Caso relacionado 401,DR. URQUIZA,1
EN TRÁMITE,544717,Norma Penal,2019-06-12 16:45:50,Expediente 402,EN TRÁMITE,Alta,Bajo,Andres,Segunda Instancia,2029-09-14 01:28:53,En Proceso,9,2831425.54,1148109.49,Empresa,942,LABORAL 5,Caso relacionado 402,DRA. CINTIA FIAD,1
APELADO,554162,Norma Comercial,2012-04-19 19:38:42,Expediente 403,APELADO,Alta,Alto,Agostina,Segunda Instancia,2025-10-03 01:58:11,Favorable,4,114835.69,2563586.86,Organismo Público,152,COMERCIAL 1,Caso relacionado 403,DRA. CINTIA FIAD,1
EN TRÁMITE,924899,Norma Penal,2015-11-03 14:31:21,Expediente 404,EN TRÁMITE,Baja,Moderado,Laura,Primera Instancia,2030-02-06 02:43:33,Favorable,2,181812.23,1260077.45,Empresa,1326,CIVIL 2,Caso relacionado 404,DR. PAREDES,1
TERMINADO,396037,Norma Laboral,2001-09-21 01:42:48,Expediente 405,TERMINADO,Media,Alto,Andres,Primera Instancia,2026-03-11 18:02:58,Favorable,6,2234669.49,3832094.41,Persona Física,1302,PAZ TERCERA,Caso relacionado 405,DR. URQUIZA,1
TERMINADO,176329,Norma Laboral,2007-07-12 12:12:21,Expediente 406,TERMINADO,Alta,Alto,Belén,Segunda Instancia,2030-03-31 11:53:43,Favorable,9,4085109.66,138527.17,Organismo Público,1675,PAZ TERCERA,Caso relacionado 406,DR. URQUIZA,1
FERIA JUDICIAL,131007,Norma Civil,2015-01-08 21:52:14,Expediente 407,TERMINADO,Media,Moderado,Andres,Segunda Instancia,2025-01-28 07:55:31,Desfavorable,2,4427342.0,2321272.41,Empresa,1712,PAZ TERCERA,Caso relacionado 407,DRA. CINTIA FIAD,1
EN TRÁMITE,794892,Norma Comercial,2009-04-28 10:08:20,Expediente 408,TERMINADO,Alta,Moderado,Mariana,Primera Instancia,2028-07-15 11:16:57,Conciliación,6,442665.77,670181.67,Organismo Público,1032,PAZ TERCERA,Caso relacionado 408,DRA. CINTIA FIAD,1
APELADO,416397,Norma Civil,2004-07-07 20:26:10,Expediente 409,APELADO,Baja,Moderado,Belén,Corte Suprema,2028-03-17 08:27:05,Conciliación,3,2696431.88,2850319.72,Persona Física,807,COMERCIAL 1,Caso relacionado 409,DR. PAREDES,1
FERIA JUDICIAL,112323,Norma Laboral,2001-10-15 22:52:40,Expediente 410,APELADO,Media,Moderado,Mariana,Corte Suprema,2029-05-23 18:37:38,En Proceso,2,4567016.13,707681.68,Organismo Público,235,PAZ TERCERA,Caso relacionado 410,DR. URQUIZA,1
FERIA JUDICIAL,997767,Norma Penal,2007-05-05 16:33:56,Expediente 411,FERIA JUDICIAL,Baja,Alto,Belén,Corte Suprema,2030-07-31 16:15:21,Conciliación,3,1945984.04,945356.13,Persona Física,675,COMERCIAL 1,Caso relacionado 411,DR. URQUIZA,1
FERIA JUDICIAL,212356,Norma Civil,2021-07-18 10:49:24,Expediente 412,EN TRÁMITE,Alta,Moderado,Agostina,Corte Suprema,2028-02-21 12:06:02,Conciliación,2,4149533.5,1980011.39,Empresa,561,CIVIL 2,Caso relacionado 412,DR. PAREDES,1
APELADO,735232,Norma Civil,2020-11-04 18:19:25,Expediente 413,TERMINADO,Media,Moderado,Andres,Corte Suprema,2028-10-16 04:34:20,Conciliación,4,677141.32,3659765.63,Persona Física,1326,LABORAL 5,Caso relacionado 413,DR. PAREDES,1
FERIA JUDICIAL,304451,Norma Penal,2001-04-04 18:09:55,Expediente 414,APELADO,Alta,Bajo,Laura,Corte Suprema,2030-08-19 17:36:27,Conciliación,5,4677618.5,850798.92,Empresa,38,PAZ TERCERA,Caso relacionado 414,DRA. CINTIA FIAD,1
APELADO,378600,Norma Civil,2020-11-26 21:17:23,Expediente 415,EN TRÁMITE,Media,Moderado,Belén,Corte Suprema,2027-12-06 08:53:28,En Proceso,7,3759602.35,581238.88,Empresa,1160,LABORAL 5,Caso relacionado 415,DRA. CINTIA FIAD,1
FERIA JUDICIAL,655655,Norma Penal,2016-06-30 02:34:51,Expediente 416,EN TRÁMITE,Alta,Moderado,Belén,Corte Suprema,2028-03-15 18:57:23,Desfavorable,9,4707258.62,3037112.44,Persona Física,822,CIVIL 2,Caso relacionado 416,DR. PAREDES,1
APELADO,154624,Norma Comercial,2002-03-09 14:01:10,Expediente 417,APELADO,Media,Bajo,Mariana,Primera Instancia,2028-08-30 05:59:19,Favorable,7,3386320.0,2004975.03,Empresa,421,CIVIL 2,Caso relacionado 417,DR. PAREDES,1
TERMINADO,503322,Norma Penal,2007-10-24 04:07:36,Expediente 418,TERMINADO,Media,Bajo,Agostina,Corte Suprema,2027-09-18 02:07:43,Conciliación,7,1823385.62,3647581.52,Organismo Público,1243,PAZ TERCERA,Caso relacionado 418,DR. URQUIZA,1
TERMINADO,334565,Norma Comercial,2005-03-26 05:28:02,Expediente 419,FERIA JUDICIAL,Media,Alto,Mariana,Corte Suprema,2030-11-07 17:13:10,Desfavorable,3,4691524.05,1888468.992082754,Empresa,348,CIVIL 2,Caso relacionado 419,DR. PAREDES,1
TERMINADO,168008,Norma Penal,2008-01-16 13:45:31,Expediente 420,EN TRÁMITE,Media,Bajo,Mariana,Corte Suprema,2030-03-03 15:35:14,Conciliación,8,1385078.21,2585481.93,Persona Física,1832,LABORAL 5,Caso relacionado 420,DR. PAREDES,1
TERMINADO,477539,Norma Laboral,2022-06-15 10:39:08,Expediente 421,FERIA JUDICIAL,Media,Alto,Agostina,Segunda Instancia,2028-02-22 16:40:43,Conciliación,6,1667540.89,935352.19,Organismo Público,1570,PAZ TERCERA,Caso relacionado 421,DR. URQUIZA,1
TERMINADO,216492,Norma Laboral,2020-04-04 05:51:10,Expediente 422,TERMINADO,Media,Bajo,Laura,Primera Instancia,2029-12-28 14:12:30,Favorable,7,3507034.01,631257.91,Organismo Público,1888,COMERCIAL 1,Caso relacionado 422,DR. PAREDES,1
FERIA JUDICIAL,172240,Norma Comercial,2001-05-26 08:41:53,Expediente 423,TERMINADO,Media,Bajo,Mariana,Primera Instancia,2025-07-28 11:29:58,Favorable,4,3828928.33,1888468.992082754,Empresa,1103,PAZ TERCERA,Caso relacionado 423,DRA. CINTIA FIAD,1
FERIA JUDICIAL,426459,Norma Comercial,2020-07-08 17:52:50,Expediente 424,FERIA JUDICIAL,Media,Alto,Mariana,Primera Instancia,2026-09-28 00:08:57,Favorable,7,4647723.38,2376770.06,Empresa,748,LABORAL 5,Caso relacionado 424,DRA. CINTIA FIAD,1
FERIA JUDICIAL,825947,Norma Laboral,2021-05-24 04:58:08,Expediente 425,TERMINADO,Media,Bajo,Belén,Corte Suprema,2026-01-12 04:22:50,Conciliación,2,1031964.02,3020535.7,Persona Física,1919,PAZ TERCERA,Caso relacionado 425,DR. URQUIZA,1
APELADO,372900,Norma Comercial,2016-11-27 08:15:01,Expediente 426,EN TRÁMITE,Alta,Alto,Agostina,Corte Suprema,2030-08-29 21:37:41,Conciliación,3,3992010.2,1241302.99,Organismo Público,273,PAZ TERCERA,Caso relacionado 426,DR. PAREDES,1
APELADO,561227,Norma Penal,2023-03-28 03:35:22,Expediente 427,FERIA JUDICIAL,Baja,Bajo,Andres,Segunda Instancia,2028-02-28 22:14:57,Conciliación,8,3695344.81,1794646.77,Persona Física,1185,LABORAL 5,Caso relacionado 427,DRA. CINTIA FIAD,1
APELADO,398522,Norma Penal,2000-01-10 08:46:18,Expediente 428,TERMINADO,Media,Moderado,Laura,Primera Instancia,2027-12-20 00:19:30,Favorable,2,328334.84,1624859.35,Empresa,1711,PAZ TERCERA,Caso relacionado 428,DRA. CINTIA FIAD,1
APELADO,235327,Norma Laboral,2008-03-23 12:29:10,Expediente 429,FERIA JUDICIAL,Baja,Bajo,Laura,Corte Suprema,2025-03-31 23:54:39,En Proceso,8,1942243.47,3936437.41,Organismo Público,1902,PAZ TERCERA,Caso relacionado 429,DRA. CINTIA FIAD,1
TERMINADO,749991,Norma Civil,2023-01-05 01:34:50,Expediente 430,EN TRÁMITE,Media,Alto,Agostina,Primera Instancia,2028-04-16 08:06:29,Desfavorable,2,1420999.63,1172534.58,Persona Física,308,LABORAL 5,Caso relacionado 430,DRA. CINTIA FIAD,1
TERMINADO,942981,Norma Penal,2015-02-08 07:35:54,Expediente 431,TERMINADO,Media,Bajo,Belén,Segunda Instancia,2025-04-25 22:14:05,En Proceso,2,1529407.22,1182794.87,Persona Física,1398,CIVIL 2,Caso relacionado 431,DR. PAREDES,1
TERMINADO,265575,Norma Comercial,2019-01-08 11:26:25,Expediente 432,EN TRÁMITE,Alta,Alto,Belén,Segunda Instancia,2029-11-30 07:08:35,Conciliación,9,4914904.93,1421420.09,Persona Física,976,LABORAL 5,Caso relacionado 432,DR. PAREDES,1
EN TRÁMITE,960226,Norma Civil,2017-08-16 14:58:53,Expediente 433,TERMINADO,Alta,Alto,Agostina,Segunda Instancia,2028-10-21 09:14:24,Conciliación,5,3217459.29,2260553.35,Persona Física,733,PAZ TERCERA,Caso relacionado 433,DR. PAREDES,1
FERIA JUDICIAL,599499,Norma Civil,2015-08-04 23:42:27,Expediente 434,APELADO,Baja,Moderado,Belén,Primera Instancia,2028-12-08 14:19:07,En Proceso,5,3591204.03,1013029.36,Persona Física,1033,COMERCIAL 1,Caso relacionado 434,DR. PAREDES,1
APELADO,593948,Norma Penal,2017-11-29 11:09:40,Expediente 435,TERMINADO,Alta,Moderado,Laura,Corte Suprema,2028-02-15 02:51:44,Conciliación,6,4883322.01,3661583.31,Organismo Público,1825,COMERCIAL 1,Caso relacionado 435,DRA. CINTIA FIAD,1
APELADO,407257,Norma Penal,2006-05-07 21:29:43,Expediente 436,FERIA JUDICIAL,Alta,Alto,Laura,Corte Suprema,2030-05-20 03:07:14,Desfavorable,3,1892236.89,1066413.83,Persona Física,444,LABORAL 5,Caso relacionado 436,DR. URQUIZA,1
TERMINADO,698357,Norma Civil,2017-07-15 02:30:21,Expediente 437,TERMINADO,Baja,Bajo,Andres,Segunda Instancia,2027-10-23 12:48:58,Conciliación,4,4011182.44,3583783.85,Organismo Público,1137,COMERCIAL 1,Caso relacionado 437,DR. URQUIZA,1
APELADO,329189,Norma Civil,2017-09-30 05:54:42,Expediente 438,EN TRÁMITE,Alta,Alto,Agostina,Corte Suprema,2026-06-16 07:39:31,Desfavorable,4,2178309.51,418382.88,Persona Física,1229,PAZ TERCERA,Caso relacionado 438,DRA. CINTIA FIAD,1
APELADO,498465,Norma Laboral,2022-02-24 21:35:14,Expediente 439,EN TRÁMITE,Media,Alto,Mariana,Segunda Instancia,2030-10-25 16:59:33,En Proceso,4,4348973.02,2627968.0,Empresa,405,PAZ TERCERA,Caso relacionado 439,DRA. CINTIA FIAD,1
FERIA JUDICIAL,351051,Norma Comercial,2007-02-15 13:09:18,Expediente 440,TERMINADO,Baja,Bajo,Mariana,Primera Instancia,2027-07-16 08:43:26,En Proceso,9,911481.13,3628407.15,Empresa,1722,LABORAL 5,Caso relacionado 440,DR. URQUIZA,1
TERMINADO,749829,Norma Laboral,2015-01-25 22:48:45,Expediente 441,FERIA JUDICIAL,Baja,Bajo,Andres,Segunda Instancia,2026-08-27 09:42:30,Conciliación,2,4738954.02,679154.01,Persona Física,853,PAZ TERCERA,Caso relacionado 441,DR. URQUIZA,1
FERIA JUDICIAL,813936,Norma Penal,2023-06-26 10:17:55,Expediente 442,APELADO,Media,Bajo,Andres,Primera Instancia,2027-03-05 15:36:42,Desfavorable,5,1101670.82,3873466.21,Empresa,1221,CIVIL 2,Caso relacionado 442,DRA. CINTIA FIAD,1
EN TRÁMITE,611778,Norma Laboral,2002-06-13 18:56:48,Expediente 443,FERIA JUDICIAL,Alta,Bajo,Belén,Segunda Instancia,2029-06-16 06:53:26,Conciliación,3,1637840.33,1814269.02,Organismo Público,778,PAZ TERCERA,Caso relacionado 443,DRA. CINTIA FIAD,1
